run,dice_mean,dice_lv_endocardium,dice_lv_epicardium,dice_left_atrium,hd95_mean,assd_mean,latency_ms_mean,fps,params_M,gflops
E10_filled_n32,0.9105144094607184,0.9264081700979454,0.882348979458145,0.9227860788260648,3.8332128759513444,0.7610312548340946,46.79563850120758,21.36951288685151,2.689469,9.0819072
E10_seam_n32,0.9119196160344533,0.9335791599133296,0.8832217386074254,0.9189579495826046,3.8275885195989927,0.751355008775962,63.90665650120354,15.647822226174,2.689469,9.0819072
E11_best_seed0,0.9151155089271503,0.9419472870023164,0.8859845080078109,0.9174147317713235,3.7360938238152737,0.749086608245463,45.80874199818936,21.829894390889976,2.689469,9.0819072
E11_best_seed1,0.9063727747295482,0.9320376336570391,0.8738091299641981,0.9132715605674073,3.8705484585000374,0.7586097246346338,45.12361700166366,22.161344024419208,2.689469,9.0819072
E11_best_seed2,0.9125233644507964,0.9419285157045065,0.8775933286595269,0.9180482489883556,3.8208123651803465,0.7548418385043505,44.19627949988353,22.626338943363667,2.689469,9.0819072
E12_bw0,0.9151155089271503,0.9419472870023164,0.8859845080078109,0.9174147317713235,3.7360938238152737,0.749086608245463,45.80874199818936,21.829894390889976,2.689469,9.0819072
E12_bw100,0.9148934604487104,0.9432137915983719,0.8843273113297053,0.9171392784180534,3.7814377224143145,0.7459134044622939,26.17621249970398,38.20262385214472,2.689469,9.0819072
E12_bw20,0.9141263259703423,0.9412464764493522,0.8798274942462813,0.9213050072153933,3.93581091129519,0.7726660915314254,45.06606499955524,22.189645357540517,2.689469,9.0819072
E12_bw50,0.9116550661564594,0.9394345465696832,0.8774876199489021,0.9180430319507928,3.852792853576807,0.7603303703255361,26.543578498240095,37.67389540435561,2.689469,9.0819072
E13_adamw,0.9067026922046615,0.9367554695823702,0.8713239450364867,0.9120286619951279,3.9515219319309103,0.7920520009680354,26.427564000032362,37.83928023024655,2.689469,9.0819072
E13_box_double,0.9145463199471142,0.9382678224238878,0.8865710561779181,0.918800081239537,3.7489921635131123,0.7355567184861923,34.551057500001434,28.94267418587574,2.689469,9.0819072
E13_box_half,0.9152684796413504,0.9413458518236932,0.882329485247125,0.9221301018532331,3.788413082650383,0.7569711947639638,34.939497001614654,28.62090430076275,2.689469,9.0819072
E13_cls_double,0.9095371155406999,0.9372964748357756,0.8744717251930382,0.9168431465932858,3.8503672727121923,0.7625618737980525,44.05819750001683,22.697251742984218,2.689469,9.0819072
E13_dfl_double,0.9119698078492132,0.9423175754046659,0.8798175998650573,0.9137742482779163,3.8084664435785687,0.7457211754983484,27.798321999975997,35.973394365345634,2.689469,9.0819072
E13_sgd,0.9126352433801673,0.9373151292578672,0.884888898210244,0.9157017026723906,3.8849664388027194,0.7552394664153936,26.634708499923363,37.54499509551146,2.689469,9.0819072
E1_filled,0.9151155089271503,0.9419472870023164,0.8859845080078109,0.9174147317713235,3.7360938238152737,0.749086608245463,41.60529850005332,24.035400202662128,2.689469,9.0819072
E1_seam,0.9176604063180371,0.944059948382643,0.8878382147137267,0.9210830558577419,3.6989807351885964,0.7345620510812225,42.98595699990983,23.263411350876698,2.689469,9.0819072
E2_v11n,0.9109126844995277,0.9392906515507979,0.8749372526212376,0.9185101493265471,4.032916983855798,0.7784542991585195,40.85938000003807,24.474184385545453,2.835153,9.6329216
E2_v26m,0.9135134603842491,0.9433244889130868,0.8846883093625121,0.9125275828771479,3.816988999392677,0.7624933168298154,103.22366349999356,9.687701115162051,23.509781,121.4130176
E2_v26n,0.9151155089271503,0.9419472870023164,0.8859845080078109,0.9174147317713235,3.7360938238152737,0.749086608245463,41.60529850005332,24.035400202662128,2.689469,9.0819072
E2_v26s,0.9035401543614708,0.9380108557686218,0.8578034237895474,0.9148061835262429,3.8115697421367325,0.7474761523539525,39.8453460001474,25.09703391699248,10.366501,34.2959104
E2_v8n,0.9137449917260767,0.940509949923855,0.8813330829578899,0.9193919422964857,3.969541284190866,0.7734595417624113,38.61912450014643,25.893906528000354,3.258649,11.3436672
E3_sz512,0.9104049361728767,0.9359032725392938,0.8836084556089658,0.9117030803703702,3.920890772018514,0.7642057514393327,23.614445000093838,42.346961785298205,2.689469,5.784109056
E3_sz640,0.9151155089271503,0.9419472870023164,0.8859845080078109,0.9174147317713235,3.7360938238152737,0.749086608245463,41.60529850005332,24.035400202662128,2.689469,9.0819072
E3_sz800,0.9055544487052138,0.9342699558983625,0.8823779424611488,0.9000154477561304,3.7745250457107673,0.7384584824874989,51.64631849991565,19.362464335219425,2.689469,14.29848
E3_sz960,0.9108459162376142,0.9380700672400009,0.8813221485935178,0.9131455328793244,3.8133626675196854,0.7631320966968813,37.404291500279214,26.734900191667453,2.689469,20.7798912
E4_mr1,0.9118212462195112,0.940986577632907,0.8832617970167417,0.9112153640088851,3.8854914206649154,0.7621234805004339,27.878883999728714,35.86944154614406,2.689469,9.0819072
